,document,topic0,topic1,topic2
0,1|23,0.1658291457286432,0.6683417085427136,0.1658291457286432
1,2|3,0.8345864661654135,0.08270676691729323,0.08270676691729323
2,2|145,0.6683417085427136,0.1658291457286432,0.1658291457286432
3,3|9,0.1658291457286432,0.6683417085427136,0.1658291457286432
4,3|145,0.7792642140468227,0.11036789297658862,0.11036789297658862
5,4|1,0.1658291457286432,0.6683417085427136,0.1658291457286432
6,4|8,0.11036789297658862,0.44481605351170567,0.44481605351170567
7,4|9,0.16645807259073842,0.541927409261577,0.29161451814768463
8,4|146,0.1658291457286432,0.1658291457286432,0.6683417085427136
9,5|9,0.11036789297658862,0.11036789297658862,0.7792642140468227
10,5|22,0.1658291457286432,0.6683417085427136,0.1658291457286432
11,6|145,0.38898163606010017,0.5559265442404007,0.05509181969949917
12,7|22,0.6683417085427136,0.1658291457286432,0.1658291457286432
13,7|43,0.6683417085427136,0.1658291457286432,0.1658291457286432
14,8|1,0.6683417085427136,0.1658291457286432,0.1658291457286432
15,8|11,0.6683417085427136,0.1658291457286432,0.1658291457286432
16,8|18,0.7792642140468227,0.11036789297658862,0.11036789297658862
17,8|19,0.3333333333333333,0.5839598997493735,0.08270676691729323
18,8|20,0.44481605351170567,0.11036789297658862,0.44481605351170567
19,8|43,0.1658291457286432,0.1658291457286432,0.6683417085427136
20,8|44,0.6683417085427136,0.1658291457286432,0.1658291457286432
21,8|146,0.44481605351170567,0.11036789297658862,0.44481605351170567
22,9|7,0.08270676691729323,0.08270676691729323,0.8345864661654135
23,9|20,0.44481605351170567,0.11036789297658862,0.44481605351170567
24,9|21,0.6683417085427136,0.1658291457286432,0.1658291457286432
25,9|23,0.11036789297658862,0.7792642140468227,0.11036789297658862
26,9|24,0.6683417085427136,0.1658291457286432,0.1658291457286432
27,10|0,0.6683417085427136,0.1658291457286432,0.1658291457286432
28,10|7,0.1658291457286432,0.6683417085427136,0.1658291457286432
29,10|20,0.44481605351170567,0.44481605351170567,0.11036789297658862
30,10|24,0.1658291457286432,0.6683417085427136,0.1658291457286432
31,11|7,0.1658291457286432,0.1658291457286432,0.6683417085427136
32,11|15,0.44481605351170567,0.11036789297658862,0.44481605351170567
33,11|20,0.1658291457286432,0.1658291457286432,0.6683417085427136
34,11|21,0.6683417085427136,0.1658291457286432,0.1658291457286432
35,11|22,0.11036789297658862,0.7792642140468227,0.11036789297658862
36,12|23,0.1658291457286432,0.1658291457286432,0.6683417085427136
37,12|25,0.3333333333333333,0.5839598997493735,0.08270676691729323
38,13|22,0.1658291457286432,0.6683417085427136,0.1658291457286432
39,13|41,0.11036789297658862,0.11036789297658862,0.7792642140468227
40,13|59,0.6683417085427136,0.1658291457286432,0.1658291457286432
41,14|10,0.08270676691729323,0.08270676691729323,0.8345864661654135
42,14|22,0.06613226452905811,0.06613226452905811,0.8677354709418837
43,14|23,0.44481605351170567,0.11036789297658862,0.44481605351170567
44,14|35,0.11036789297658862,0.44481605351170567,0.44481605351170567
45,14|57,0.11036789297658862,0.11036789297658862,0.7792642140468227
46,14|58,0.1658291457286432,0.6683417085427136,0.1658291457286432
47,14|59,0.1658291457286432,0.1658291457286432,0.6683417085427136
48,15|4,0.1658291457286432,0.1658291457286432,0.6683417085427136
49,15|5,0.05509181969949917,0.05509181969949917,0.8898163606010017
50,15|7,0.1658291457286432,0.1658291457286432,0.6683417085427136
51,15|10,0.1658291457286432,0.1658291457286432,0.6683417085427136
52,15|22,0.1658291457286432,0.1658291457286432,0.6683417085427136
53,15|57,0.8345864661654135,0.08270676691729323,0.08270676691729323
54,16|7,0.6683417085427136,0.1658291457286432,0.1658291457286432
55,16|10,0.1658291457286432,0.1658291457286432,0.6683417085427136
56,16|57,0.1658291457286432,0.1658291457286432,0.6683417085427136
57,16|67,0.2665330661322645,0.06613226452905811,0.6673346693386774
58,17|12,0.1658291457286432,0.6683417085427136,0.1658291457286432
59,17|18,0.1658291457286432,0.6683417085427136,0.1658291457286432
60,17|57,0.1658291457286432,0.6683417085427136,0.1658291457286432
61,18|17,0.06613226452905811,0.4669338677354709,0.4669338677354709
